bionicx-exec: running untraced pid=27093
libhwy1t64:arm64	1.2.0-2+b2	installed
libhyphen0:arm64	2.8.8-7+b2	installed
libice6:arm64	2:1.1.1-1	installed
libicu76:arm64	76.1-4	installed
libid3tag0:arm64	0.16.3-1	installed
libidn12:arm64	1.43-1	installed
libidn2-0:arm64	2.3.8-2	installed
libiec61883-0:arm64	1.2.0-7	installed
libijs-0.35:arm64	0.35-15.2	installed
libimagequant0:arm64	2.18.0-1+b2	installed
libimath-3-1-29t64:arm64	3.1.12-1+b3	installed
libimlib2t64:arm64	1.12.4-2	installed
libinih1:arm64	59-1	installed
libinireader0:arm64	59-1	installed
libinput-bin	1.28.1-1+deb13u1	installed
libinput10:arm64	1.28.1-1+deb13u1	installed
libixml11t64:arm64	1:1.14.20-1+deb13u1	installed
libjack-jackd2-0:arm64	1.9.22~dfsg-4	installed
libjansson4:arm64	2.14-2+b3	installed
libjbig0:arm64	2.1-6.1+b2	installed
libjbig2dec0:arm64	0.20-1+b3	installed
libjpeg62-turbo:arm64	1:2.1.5-4	installed
libjson-c5:arm64	0.18+ds-1	installed
libjson-glib-1.0-0:arm64	1.10.6+ds-2	installed
libjson-glib-1.0-common	1.10.6+ds-2	installed
libjxl0.11:arm64	0.11.2-0.1~deb13u2	installed
libk5crypto3:arm64	1.21.3-5+deb13u1	installed
libkate1:arm64	0.4.3-1	installed
libkeyutils1:arm64	1.6.3-6	installed
libkf5completion-data	5.116.0-1	installed
libkf5completion5:arm64	5.116.0-1	installed
libkf5config-data	5.116.0-1	installed
libkf5configcore5:arm64	5.116.0-1	installed
libkf5configgui5:arm64	5.116.0-1	installed
libkf5coreaddons-data	5.116.0-1	installed
libkf5coreaddons5:arm64	5.116.0-1	installed
libkf5crash5:arm64	5.116.0-1	installed
libkf5guiaddons-data	5.116.0-2	installed
libkf5guiaddons5:arm64	5.116.0-2	installed
libkf5i18n-data	5.116.0-1	installed
libkf5i18n5:arm64	5.116.0-1	installed
libkf5itemviews-data	5.116.0-1	installed
libkf5itemviews5:arm64	5.116.0-1	installed
libkf5kdcraw5:arm64	25.04.0-1	installed
libkf5widgetsaddons-data	5.116.0-1	installed
libkf5widgetsaddons5:arm64	5.116.0-1	installed
libkf5windowsystem-data	5.116.0-1	installed
libkf5windowsystem5:arm64	5.116.0-1	installed
libkmlbase1t64:arm64	1.3.0-12+b2	installed
libkmldom1t64:arm64	1.3.0-12+b2	installed
libkmlengine1t64:arm64	1.3.0-12+b2	installed
libkpathsea6:arm64	2024.20240313.70630+ds-6	installed
libkrb5-3:arm64	1.21.3-5+deb13u1	installed
libkrb5support0:arm64	1.21.3-5+deb13u1	installed
libksba8:arm64	1.6.7-2+b1	installed
libkseexpr-data	4.0.4.0-7	installed
libkseexpr4:arm64	4.0.4.0-7	installed
libkseexprui4:arm64	4.0.4.0-7	installed
liblab-gamut1:arm64	2.42.4-3	installed
liblangtag-common	0.6.7-1	installed
liblangtag1:arm64	0.6.7-1+b2	installed
liblapack3:arm64	3.12.1-6	installed
liblastlog2-2:arm64	2.41-5	installed
liblcms2-2:arm64	2.16-2+deb13u2	installed
libldap2:arm64	2.6.10+dfsg-1	installed
libleptonica6:arm64	1.84.1-4	installed
liblerc4:arm64	4.0.0+ds-5	installed
liblilv-0-0:arm64	0.24.26-1	installed
liblirc-client0t64:arm64	0.10.2-0.10	installed
libllvm19:arm64	1:19.1.7-3+b1	installed
libltdl7:arm64	2.5.4-4	installed
liblua5.2-0:arm64	5.2.4-3+b3	installed
liblz4-1:arm64	1.10.0-4	installed
liblzma5:arm64	5.8.1-1+deb13u1	installed
libmad0:arm64	0.15.1b-11+b1	installed
libmagic-mgc	1:5.46-5	installed
libmagic1t64:arm64	1:5.46-5	installed
libmariadb3:arm64	1:11.8.6-0+deb13u1	installed
libmatroska7:arm64	1.7.1-1+b2	installed
libmbedcrypto16:arm64	3.6.5-0.1~deb13u1	installed
libmd0:arm64	1.1.0-2+b1	installed
libmd4c0:arm64	0.5.2-2+b1	installed
libmhash2:arm64	0.9.9.9-10	installed
libminizip1t64:arm64	1:1.3.dfsg+really1.3.1-1+b1	installed
libmlt++7:arm64	7.30.0-1+b2	installed
libmlt7:arm64	7.30.0-1+b2	installed
libmount1:arm64	2.41-5	installed
libmousepad0:arm64	0.6.3-1	installed
libmovit8:arm64	1.7.1-1+b2	installed
libmp3lame0:arm64	3.100-6+b3	installed
libmpcdec6:arm64	2:0.1~r495-3	installed
libmpg123-0t64:arm64	1.32.10-1+deb13u1	installed
libmtdev1t64:arm64	1.1.7-1	installed
libmtp-common	1.1.22-1	installed
libmtp9t64:arm64	1.1.22-1	installed
libmwaw-0.3-3:arm64	0.3.22-1+b2	installed
libmypaint-1.5-1:arm64	1.6.0-4	installed
libmypaint-common	1.6.0-4	installed
libmysofa1:arm64	1.3.3+dfsg-1	installed
libmythes-1.2-0:arm64	2:1.2.5-1+b2	installed
libncurses6:arm64	6.5+20250216-2	installed
libncursesw6:arm64	6.5+20250216-2	installed
libnetcdf22:arm64	1:4.9.3-1	installed
libnettle8t64:arm64	3.10.1-1	installed
libnfs14:arm64	5.0.2-1+b2	installed
libnghttp2-14:arm64	1.64.0-1.1+deb13u1	installed
libnghttp3-9:arm64	1.8.0-1	installed
libngtcp2-16:arm64	1.11.0-1+deb13u1	installed
libngtcp2-crypto-gnutls8:arm64	1.11.0-1+deb13u1	installed
libnorm1t64:arm64	1.5.9+dfsg-3.1+b2	installed
libnotify4:arm64	0.8.6-1	installed
libnpth0t64:arm64	1.8-3	installed
libnspr4:arm64	2:4.36-1	installed
libnss3:arm64	2:3.110-1+deb13u4	installed
libnuma1:arm64	2.0.19-1	installed
libnumbertext-1.0-0:arm64	1.0.11-4+b2	installed
libnumbertext-data	1.0.11-4	installed
libodbc2:arm64	2.3.12-2	installed
libodbcinst2:arm64	2.3.12-2	installed
libodfgen-0.1-1:arm64	0.1.8-2+b2	installed
libogdi4.1:arm64	4.1.1+ds-5	installed
libogg0:arm64	1.3.5-3+b2	installed
libopenal-data	1:1.24.2-1	installed
libopenal1:arm64	1:1.24.2-1	installed
libopencv-calib3d410:arm64	4.10.0+dfsg-5	installed
libopencv-contrib410:arm64	4.10.0+dfsg-5	installed
libopencv-core410:arm64	4.10.0+dfsg-5	installed
libopencv-dnn410:arm64	4.10.0+dfsg-5	installed
libopencv-features2d410:arm64	4.10.0+dfsg-5	installed
libopencv-flann410:arm64	4.10.0+dfsg-5	installed
